BALANCE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,response
290000,26,0,0,0,0,18125,20807,99860,100000,3000,80000,3000,3015,notdefault
20000,51,-1,-1,-2,-1,780,0,-1500,780,0,0,2280,0,notdefault
280000,29,-2,-2,-2,-2,10660,5123,8467,2510,5123,8467,2510,591,notdefault
280000,47,0,0,0,0,269124,266163,215177,184270,11268,8196,6281,4403,notdefault
20000,24,0,0,0,0,17924,18475,19539,19396,1400,1380,1181,1000,notdefault
50000,26,-2,-2,-2,-2,2411,3059,2333,1800,3068,2440,1807,2204,notdefault
20000,23,1,2,2,2,16332,18111,18325,18391,2500,1000,600,0,default
30000,25,1,2,2,2,29628,30453,30082,28933,1600,1000,7,880,notdefault
200000,38,-2,-2,-2,-2,5625,12125,13300,3450,12125,13416,3450,13880,notdefault
110000,29,0,0,2,0,107195,109443,106637,106665,7845,4000,4000,3500,notdefault
440000,31,0,-1,-1,-1,232526,1025,0,26549,1025,0,26549,0,notdefault
400000,44,0,0,0,0,120456,113855,87798,19583,3557,2350,5700,1000,notdefault
130000,28,-1,-1,-1,-1,3964,600,0,631,600,0,631,0,notdefault
180000,36,0,0,0,0,136613,133557,129909,133043,6600,6000,6000,6000,notdefault
60000,25,0,0,0,2,24066,24786,27050,26317,1414,2678,0,2310,notdefault
30000,36,-1,2,-1,-1,1226,390,390,390,0,390,390,390,default
40000,26,1,2,2,2,11318,10845,12655,12156,0,2000,0,9000,default
10000,22,0,0,0,0,7960,9649,8518,8628,2000,1000,500,1500,default
310000,37,-1,-1,-1,-1,325,4373,26863,7443,4373,26863,7443,0,notdefault
20000,56,3,2,2,2,17740,17166,19148,18542,0,2273,0,1882,default
80000,49,0,0,0,0,79545,80932,22320,22765,3708,1364,809,989,default
110000,27,1,-2,-2,-2,0,0,0,0,0,0,0,0,default
200000,35,-1,-1,-2,-1,816,0,0,3240,0,0,3240,0,notdefault
50000,23,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
30000,41,0,0,0,0,25159,25931,27369,25111,1762,2200,790,922,notdefault
230000,34,-2,-2,-2,-2,27178,0,856,6147,0,856,6147,7387,notdefault
20000,24,-1,4,4,3,19915,19902,19299,20686,600,0,2000,0,default
500000,45,-2,-2,-2,-2,1905,3640,162,0,3640,162,0,151,notdefault
50000,49,1,2,0,0,16747,16181,17912,19606,0,2000,2000,2000,default
220000,25,0,0,0,0,142714,270596,52682,23243,7200,3200,1200,1000,notdefault
20000,32,0,0,-1,0,4485,4843,15992,14897,1000,16000,600,1000,notdefault
500000,52,0,0,0,0,588000,277559,288835,281810,17559,36500,20000,36000,notdefault
70000,27,3,2,3,2,70084,71379,69264,26547,3000,0,0,2000,default
140000,45,0,0,0,0,39716,40799,41853,44452,1600,1600,3169,1700,notdefault
20000,21,1,2,2,0,18455,13081,12582,14255,1327,0,2000,283,notdefault
50000,22,2,0,0,0,47076,48628,48524,8411,2617,2463,350,311,default
90000,57,0,0,0,0,10635,10889,10953,11155,3007,3000,3000,5000,notdefault
30000,29,-1,-1,-1,-1,390,390,390,1438,390,390,1438,0,notdefault
200000,37,1,-1,2,-1,-179,505,189,6773,1000,0,6900,24000,default
80000,34,0,0,2,2,75517,77078,73783,68909,6000,2000,0,5065,default
20000,48,0,0,3,2,10805,15270,14740,18188,5000,0,4000,0,default
100000,31,-1,-1,0,-1,6033,19922,40000,1133,19922,21000,1133,22579,notdefault
500000,30,-2,-2,-2,-2,24349,9543,53947,84388,9605,54218,84839,26283,notdefault
30000,21,0,0,0,0,28871,28430,29051,29265,1802,1802,1358,1100,notdefault
80000,41,0,0,0,0,165578,153033,133017,19164,4351,3520,1000,3272,default
230000,39,0,0,0,0,35289,27678,13800,10238,1646,1017,214,406,notdefault
490000,35,0,0,0,0,48108,45281,46705,41125,3000,5015,5007,20205,notdefault
210000,33,0,0,0,0,141571,138588,142343,69004,5000,6000,2270,2500,default
340000,39,0,0,0,0,332319,308286,315601,318616,12500,13775,10631,8900,notdefault
20000,40,0,0,0,0,17068,18283,19424,19208,1800,1600,384,392,default
20000,51,0,0,0,0,18673,17572,18584,19097,1297,1309,822,682,notdefault
50000,50,-2,-2,-2,-1,48781,50283,51400,9463,2283,2400,9463,350,notdefault
400000,39,0,0,0,0,399099,272898,202937,169138,15395,10232,12115,6285,notdefault
200000,45,0,0,0,0,197600,200378,162374,154234,10265,6061,7048,5016,notdefault
20000,24,0,0,0,0,10085,11416,12520,12714,1500,1600,700,700,default
130000,26,-2,-2,-1,2,90833,2774,740,740,2788,740,0,73758,notdefault
110000,48,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
70000,26,0,0,0,0,65763,38209,27874,28439,3000,2000,955,3000,notdefault
230000,32,2,2,2,2,189567,189023,187521,182671,9000,6300,6200,500,default
60000,59,4,4,5,4,56998,59111,59595,58079,3601,2000,0,0,notdefault
50000,32,0,0,0,0,49292,48536,41045,41532,2661,3030,2124,646,notdefault
150000,26,2,2,2,2,69716,72156,70507,59123,5211,111,2371,0,default
240000,41,-2,-1,-1,-1,852,1738,186673,5517,1746,187473,5517,2660,notdefault
100000,35,-1,2,2,-1,8102,10252,5607,59265,2500,0,59265,4100,default
50000,47,0,0,2,0,13244,14722,15181,15928,2000,1000,1000,1000,notdefault
50000,48,0,0,0,0,47945,35712,23177,8550,4100,1150,1200,1000,notdefault
360000,29,0,0,0,-1,18454,16419,12932,91329,6028,6032,99578,2507,notdefault
20000,44,0,0,0,0,18091,17237,16419,17144,1600,1600,1300,1000,default
10000,36,1,2,0,0,7081,6819,7996,9004,0,1290,1298,474,default
150000,43,-1,2,-1,-1,1280,390,390,780,0,390,780,1746,notdefault
240000,34,-1,-1,0,0,626,1921,20740,21274,1921,19000,2624,888,notdefault
200000,45,-1,-1,-1,-1,69288,0,1800,1795,0,1800,2000,60000,notdefault
50000,32,-1,0,0,0,23974,24131,25326,25775,1800,1900,1300,0,notdefault
100000,27,0,0,0,0,5552,4784,4743,2805,1120,1000,0,354,default
210000,39,1,2,2,2,26624,25903,28719,27964,0,3550,0,1164,notdefault
80000,42,0,-1,-1,2,11460,455,10843,9011,455,10843,0,22,notdefault
50000,29,1,2,2,0,12460,13489,12987,13699,1530,0,1234,2403,notdefault
260000,48,0,0,0,0,154927,158848,160654,155059,8000,6000,7100,5300,notdefault
120000,26,0,0,-2,-1,22492,-2018,-718,1282,1534,1300,2000,81899,notdefault
310000,27,0,0,0,0,115126,105687,102306,93929,5222,5197,4000,5000,notdefault
30000,23,0,0,0,0,23237,23874,26985,29497,10000,5000,3000,2000,notdefault
200000,27,-1,-1,-1,0,630,825,1890,1260,825,1890,0,0,notdefault
270000,47,0,0,0,0,165303,168837,172281,175705,6200,6254,6290,6710,notdefault
50000,22,0,0,0,0,24775,25971,26666,27324,2001,1501,1501,3001,notdefault
